sample,region,seq_tool,condition
SRR14160074,1,0,1
SRR14160080,1,0,1
SRR14160087,1,0,1
SRR14160092,1,0,1
SRR14160097,1,0,1
SRR14160103,1,0,1
SRR14160107,1,0,1
SRR14160113,1,0,1
SRR14160119,1,0,1
SRR14160121,1,0,1
SRR14460534,0,0,1
SRR14460535,0,0,1
SRR14460536,0,0,1
SRR14460537,0,0,1
SRR15674129,0,NaN,1
SRR15674130,0,NaN,1
SRR15674131,0,NaN,1
SRR15674132,0,NaN,1
SRR15674139,0,NaN,0
SRR15674150,0,NaN,0
SRR15674161,0,NaN,0
SRR15674172,0,NaN,0
SRR15674183,0,NaN,0
SRR15674184,0,NaN,0
SRR15674185,0,NaN,0
SRR15674186,0,NaN,0
SRR15674187,0,NaN,0
SRR15674188,0,NaN,0
SRR15674189,0,NaN,0
SRR15674190,0,NaN,0
SRR15674191,0,NaN,0
SRR15674192,0,NaN,0
SRR15674193,0,NaN,0
SRR15674194,0,NaN,0
SRR15674195,0,NaN,0
SRR15674196,0,NaN,0
SRR15674197,0,NaN,0
SRR15674198,0,NaN,0
SRR15674199,0,NaN,0
SRR15674200,0,NaN,0
SRR15674201,0,NaN,0
SRR15674202,0,NaN,0
SRR15674203,0,NaN,0
SRR15674204,0,NaN,0
SRR15674205,0,NaN,0
SRR15674206,0,NaN,0
SRR15674207,0,NaN,0
SRR15674208,0,NaN,0
SRR15674209,0,NaN,0
SRR15674210,0,NaN,0
SRR15674211,0,NaN,0
SRR15674212,0,NaN,0
SRR15674213,0,NaN,0
SRR15674214,0,NaN,0
SRR15674215,0,NaN,0
SRR15674216,0,NaN,0
SRR15674217,0,NaN,0
SRR15674218,0,NaN,0
SRR15674219,0,NaN,0
SRR15674220,0,NaN,0
SRR15674221,0,NaN,0
SRR15674222,0,NaN,0
SRR15674223,0,NaN,0
SRR15674224,0,NaN,1
SRR15674225,0,NaN,1
SRR15674226,0,NaN,1
SRR15674227,0,NaN,1
SRR15674228,0,NaN,1
SRR15674229,0,NaN,1
