sample,condition
SRR15852943,PD
SRR15852987,PD
SRR15852990,PD
SRR15853001,PD
SRR15853005,PD
SRR15852986,PD
SRR15852989,PD
SRR15852994,PD
SRR15852995,PD
SRR15852997,PD
SRR15853002,PD
SRR15853007,PD
SRR15853009,PD
SRR15853010,PD
SRR15853017,PD
SRR15852941,PD
SRR15852945,PD
SRR15852948,PD
SRR15852988,PD
SRR15852992,PD
SRR15852998,PD
SRR15853000,PD
SRR15853011,PD
SRR15853012,PD
SRR15853024,PD
SRR15853025,PD
ERR1912952,PD
ERR1912954,PD
ERR1912955,PD
ERR1912958,PD
ERR1912964,PD
ERR1912967,PD
ERR1912972,PD
ERR1912973,PD
ERR1912974,PD
ERR1912976,PD
ERR1912977,PD
ERR1912978,PD
ERR1912994,PD
ERR1913001,PD
ERR1913011,PD
ERR1913013,PD
ERR1913017,PD
ERR1913018,PD
ERR1913020,PD
ERR1913021,PD
ERR1913022,PD
ERR1913024,PD
ERR1913035,PD
ERR1913049,PD
ERR1913066,PD
ERR1913067,PD
ERR1913072,PD
ERR1913074,PD
ERR1913081,PD
ERR1913082,PD
ERR1913089,PD
ERR1913096,PD
ERR1913099,PD
ERR1913104,PD
ERR1913105,PD
ERR1913107,PD
ERR1913121,PD
ERR1913122,PD
ERR1913125,PD
ERR1913127,PD
ERR1912950,PD
ERR1912951,PD
SRR15852923,Control
SRR15852925,Control
SRR15852928,Control
SRR15852937,Control
SRR15852957,Control
SRR15852960,Control
SRR15852962,Control
SRR15852967,Control
SRR15852968,Control
SRR15852969,Control
SRR15853026,Control
SRR15853028,Control
SRR15852922,Control
SRR15852930,Control
SRR15852934,Control
SRR15852940,Control
SRR15852950,Control
SRR15852952,Control
SRR15852956,Control
SRR15852972,Control
SRR15853027,Control
SRR15852932,Control
SRR15852939,Control
SRR15852951,Control
SRR15852954,Control
SRR15852955,Control
SRR15852963,Control
SRR15852982,Control
SRR15852993,Control
ERR1913015,Control
ERR1913026,Control
ERR1913027,Control
ERR1913030,Control
ERR1913031,Control
ERR1913040,Control
ERR1913041,Control
ERR1913042,Control
ERR1913044,Control
ERR1913045,Control
ERR1913046,Control
ERR1913055,Control
ERR1913056,Control
ERR1913061,Control
ERR1913077,Control
ERR1913079,Control
ERR1913086,Control
ERR1913100,Control
ERR1913101,Control
ERR1913108,Control
ERR1913111,Control
ERR1913112,Control
ERR1913113,Control
ERR1913114,Control
ERR1913116,Control
ERR1913117,Control
ERR1913118,Control
ERR1913126,Control
ERR1912961,Control
ERR1912962,Control
ERR1912963,Control
ERR1912971,Control
ERR1912980,Control
ERR1912981,Control
ERR1912982,Control
ERR1912989,Control
ERR1912992,Control
ERR1913002,Control
ERR1913004,Control
