sample,condition
SRR15852943,1
SRR15852987,1
SRR15852990,1
SRR15853001,1
SRR15853005,1
SRR15852986,1
SRR15852989,1
SRR15852994,1
SRR15852995,1
SRR15852997,1
SRR15853002,1
SRR15853007,1
SRR15853009,1
SRR15853010,1
SRR15853017,1
SRR15852941,1
SRR15852945,1
SRR15852948,1
SRR15852988,1
SRR15852992,1
SRR15852998,1
SRR15853000,1
SRR15853011,1
SRR15853012,1
SRR15853024,1
SRR15853025,1
ERR1912952,1
ERR1912954,1
ERR1912955,1
ERR1912958,1
ERR1912964,1
ERR1912967,1
ERR1912972,1
ERR1912973,1
ERR1912974,1
ERR1912976,1
ERR1912977,1
ERR1912978,1
ERR1912994,1
ERR1913001,1
ERR1913011,1
ERR1913013,1
ERR1913017,1
ERR1913018,1
ERR1913020,1
ERR1913021,1
ERR1913022,1
ERR1913024,1
ERR1913035,1
ERR1913049,1
ERR1913066,1
ERR1913067,1
ERR1913072,1
ERR1913074,1
ERR1913081,1
ERR1913082,1
ERR1913089,1
ERR1913096,1
ERR1913099,1
ERR1913104,1
ERR1913105,1
ERR1913107,1
ERR1913121,1
ERR1913122,1
ERR1913125,1
ERR1913127,1
ERR1912950,1
ERR1912951,1
SRR15852923,0
SRR15852925,0
SRR15852928,0
SRR15852937,0
SRR15852957,0
SRR15852960,0
SRR15852962,0
SRR15852967,0
SRR15852968,0
SRR15852969,0
SRR15853026,0
SRR15853028,0
SRR15852922,0
SRR15852930,0
SRR15852934,0
SRR15852940,0
SRR15852950,0
SRR15852952,0
SRR15852956,0
SRR15852972,0
SRR15853027,0
SRR15852932,0
SRR15852939,0
SRR15852951,0
SRR15852954,0
SRR15852955,0
SRR15852963,0
SRR15852982,0
SRR15852993,0
ERR1913015,0
ERR1913026,0
ERR1913027,0
ERR1913030,0
ERR1913031,0
ERR1913040,0
ERR1913041,0
ERR1913042,0
ERR1913044,0
ERR1913045,0
ERR1913046,0
ERR1913055,0
ERR1913056,0
ERR1913061,0
ERR1913077,0
ERR1913079,0
ERR1913086,0
ERR1913100,0
ERR1913101,0
ERR1913108,0
ERR1913111,0
ERR1913112,0
ERR1913113,0
ERR1913114,0
ERR1913116,0
ERR1913117,0
ERR1913118,0
ERR1913126,0
ERR1912961,0
ERR1912962,0
ERR1912963,0
ERR1912971,0
ERR1912980,0
ERR1912981,0
ERR1912982,0
ERR1912989,0
ERR1912992,0
ERR1913002,0
ERR1913004,0
